Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,?,24.76
12,Mario Kart DS,DS,2005,?,?,?,7.57,4.13,1.92,?
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,?,9,6.18,?,0.71,23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,?,3.6,?,22.72
15,Wii Fit Plus,Wii,2009,Sports,?,?,8.59,2.53,1.79,22
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,?
17,Grand Theft Auto V,PS3,2013,?,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,?,10.57,20.81
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,?,4.75,9.26,4.16,2.05,?
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,?,6.42,?,6.04,?,18.36
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,?,3.44,3.84,?,17.28
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,?,?,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,?,Nintendo,6.06,3.9,5.38,0.5,?
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,?,5.57,3.28,5.65,?,15.32
28,Grand Theft Auto V,PS4,2014,?,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
29,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
30,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
